group_ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Type of Sub project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4132000,2732000,1400000,2732000,02/08/2018
delta,n/a,udu,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,3921300,2599910,1321390,2599910,03/06/2018
delta,n/a,udu,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1210000,1210000,0,1210000,28/08/2018
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1020000,724000,296000,724000,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1020000,724000,296000,724000,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1020000,724000,294000,724000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,981450,699015,282435,699015,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1040000,736000,304000,736000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1020000,724000,296000,724000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1020000,724000,296000,724000,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1100000,815000,285000,815000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,n/a
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,n/a
bayelsa,egor,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,n/a
delta,n/a,bomadi,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,4259828,3.83E+08,4.26E+07,3.83E+08,07/03/2017
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2239700,1482550,757150,1482550,07/08/2015
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,2239700,1482550,757150,1482550,07/08/2015
delta,n/a,udu,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1968200,1289600,678600,1289600,07/08/2015
edo,n/a,n/a,ikpoba okha,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1000000,598000,402000,598000,16/08/2018
delta,n/a,ugheli south,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4636800,3027600,1609200,3027600,28/03/2019
delta,n/a,ugheli south,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,others,3807800,2529300,1278500,2529300,08/08/2019
delta,n/a,ugheli south,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4636800,3027600,1609200,2826900,28/03/2019
delta,n/a,bomadi,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2446280.99,1671830.99,774450,1671830.99,26/06/2015
delta,n/a,ugheli south,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,others,4554800,2964200,1560600,2944200,28/03/2019
delta,n/a,udu,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2375000,1600750,774250,1600750,30/06/2015
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,3290200,2051300,1238900,2051300,02/08/2018
delta,n/a,bomadi,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2446280.99,1671830.99,774450,1671830.99,26/06/2015
edo,n/a,n/a,owan west,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,976000,625200,350800,625200,16/08/2018
edo,n/a,n/a,owan west,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,976000,625200,350800,625200,16/08/2018
edo,n/a,n/a,owan west,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1230000,861000,369000,861000,16/08/2018
delta,n/a,udu,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1968200,1289600,678600,1289600,07/08/2015
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,2941700,1833550,1108150,1833550,08/02/2018
delta,n/a,ethiope east,n/a,n/a,processing,n/a,n/a,n/a,n/a,pepper tomato ,n/a,n/a,n/a,1302400,1302400,0,1302400,06/02/2019
delta,n/a,bomadi,n/a,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,1936780.99,1437580.99,499200,1437580,16/01/2015
delta,n/a,ugheli south,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4315800,2826900,1488900,2826900,28/03/2019
delta,n/a,ugheli south,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4326300,2814750,1511550,2814750,28/03/2019
delta,n/a,ugheli north,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4316000,2801200,1514800,2801200,25/03/2019
delta,n/a,ugheli north,n/a,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,3115800,2259060,856740,2259060,25/03/2019
delta,n/a,ugheli north,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4270000,2781000,1489000,2781000,25/03/2019
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,981450,699015,282435,699015,13/04/2015
bayelsa,egor,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,3006000,3006000,0,3006000,11/03/2015
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1100000,815000,285000,815000,07/07/2015
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,684000,276000,684000,16/06/2014
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,20/11/2014
bayelsa,egor,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,3340000,3006000,334000,3006000,14/10/2015
bayelsa,egor,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,3006000,3340000,334000,3006000,03/07/2014
bayelsa,egor,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,05/05/2015
bayelsa,egor,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3345000,2950000,295000,2950000,03/02/2016
bayelsa,egor,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1040000,736000,304000,736000,13/08/2017
edo,n/a,n/a,akoko edo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,256000,155800,100200,155800,25/06/2015
edo,n/a,n/a,etsako east,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,341000,225700,115300,225700,19/11/2014
edo,n/a,n/a,etsako east,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,325000,227500,97500,227500,19/11/2014
edo,n/a,n/a,akoko edo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,350000,221600,128400,221600,25/06/2015
edo,n/a,n/a,etsako central,n/a,marketing,n/a,n/a,n/a,n/a,n/a,others,n/a,n/a,520000,364000,156000,364000,18/12/2014
edo,n/a,n/a,etsako central,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,610000,388000,222000,388000,18/12/2014
edo,n/a,n/a,akoko edo,n/a,crop productio,oil palm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,355700,222830,132870,222830,08/07/2014
edo,n/a,n/a,akoko edo,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,415400,259420,155980,259420,08/07/2014
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,26/03/2019
edo,n/a,n/a,esan central,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,610000,388000,222000,388000,18/12/2014
edo,n/a,n/a,esan central,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,462600,299020,163580,299020,18/12/2014
edo,n/a,n/a,etsako central,n/a,crop productio,groundnut,n/a,n/a,n/a,n/a,n/a,n/a,n/a,317000,210900,106100,210900,18/12/2014
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,02/07/2019
edo,n/a,n/a,etsako east,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,323200,218240,104960,218240,19/11/2014
delta,n/a,okpe,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4458500,2914150,1544350,2914150,02/07/2019
delta,n/a,okpe,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4458500,2914150,1544350,2914150,02/07/2019
edo,n/a,n/a,etsako east,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,299100,196170,102650,205650,19/11/2014
edo,n/a,n/a,etsako east,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,6200000,4340000,1860000,4340000,12/08/2015
edo,n/a,n/a,akoko edo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,368800,234760,134040,234760,25/06/2015
edo,n/a,n/a,akoko edo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,272400,174520,97880,174520,08/07/2014
edo,n/a,n/a,akoko edo,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,291600,186680,104920,186680,08/07/2014
edo,n/a,n/a,akoko edo,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,2808000,1767060,1040940,1767060,25/06/2015
edo,n/a,n/a,etsako west,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,738400,452200,286200,738400,16/08/2018
edo,n/a,n/a,akoko edo,n/a,crop productio,oil palm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,349300,218350,130950,349300,08/07/2014
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,2239700,1482550,757150,1482550,07/08/2015
delta,n/a,udu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4466166.67,2961166,1505000,2961166.67,26/06/2015
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,26/03/2019
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,26/03/2019
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,26/03/2019
delta,n/a,okpe,n/a,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3594000,2450400,1143600,2450400,09/07/2019
delta,n/a,okpe,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4434000,2894800,1539200,2894800,09/07/2019
delta,n/a,okpe,n/a,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3594000,2450400,1143600,2450400,09/07/2019
delta,n/a,okpe,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4458500,2914150,1544350,2914150,02/07/2019
delta,n/a,okpe,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4468000,2899000,1569000,2899000,26/03/2019
delta,n/a,okpe,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4434000,2894800,1539200,2894800,09/07/2019
delta,n/a,okpe,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,4434000,2894800,1539200,2894800,09/07/2019
delta,n/a,burutu,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3277000,2262100,1014000,2489600,08/12/2017
delta,n/a,burutu,n/a,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4181500,2714350,1467150,2262100,08/12/2017
delta,n/a,bomadi,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1959780.99,1360680.99,599100,1360680.99,26/06/2015
edo,n/a,n/a,akoko edo,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,n/a,412000,249440,162560,249440,08/07/2014
rivers,n/a,n/a,n/a,obia akpor,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,3000000,2100000,900000,2100000,11/09/2018
delta,n/a,udu,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1916200,1253200,663000,1253200,07/08/2015
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,880000,516500,363500,516500,16/08/2018
edo,n/a,n/a,etsako west,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,867200,515100,352100,515100,16/08/2018
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,885000,520000,365000,520000,16/08/2018
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88000,516500,363500,516500,16/08/2018
edo,n/a,n/a,etsako west,n/a,livestock,n/a,n/a,goatry,n/a,n/a,n/a,n/a,n/a,689000,478300,210700,478300,16/08/2018
edo,n/a,n/a,etsako west,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,867200,515100,352100,515100,16/08/2018
edo,n/a,n/a,etsako west,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,861450,514725,346725,514725,16/08/2018
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,885000,520000,365000,520000,16/08/2018
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,686000,475300,210700,475300,16/08/2018
edo,n/a,n/a,etsako west,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,867200,515100,352100,515100,16/08/2018
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,n/a
edo,n/a,n/a,etsako west,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1172500,731650,440850,1172500,16/08/2018
edo,n/a,n/a,etsako west,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,885000,520000,365000,885000,16/08/2018
edo,n/a,n/a,etsako west,n/a,processing,n/a,n/a,n/a,n/a,palm oil proce,n/a,n/a,n/a,1110000,777000,333000,1110000,16/08/2018
edo,n/a,n/a,etsako west,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1477002,865500,611502,1477002,16/08/2018
delta,n/a,udu,n/a,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,814300,814300,n/a,814300,07/08/2015
delta,n/a,udu,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2574200,1709300,864900,1709300,07/08/2015
edo,n/a,n/a,etsako central,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,624000,417400,206600,417400,06/10/2015
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,rice processin,n/a,n/a,n/a,815600,570920,244680,570920,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,549400,357700,191700,357700,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,653400,419700,233700,419700,06/10/2015
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,rice processin,n/a,n/a,n/a,1223820,856674,367146,856674,25/07/2017
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1155270,808689,346581,808689,25/07/2017
delta,n/a,bomadi,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1957780.99,1360680.99,599100,1360680,26/06/2015
delta,n/a,bomadi,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2413800,1619000,794800,1619000,13/04/2016
delta,n/a,bomadi,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2458780,1360680.89,599100,1360680.89,26/06/2015
delta,n/a,bomadi,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4547233.33,2921983.33,1625250,2921983.33,25/04/2018
delta,n/a,bomadi,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,2470642.86,1704092.86,766550,1704092.86,09/09/2015
delta,n/a,bomadi,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3094000,1981900,1112100,1981900,22/06/2017
delta,n/a,bomadi,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2975000,7959000,1016000,1959000,20/07/2017
delta,n/a,burutu,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1635500,1118900,516600,1118900,22/02/2016
delta,n/a,warri south we,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3015000,2713500,301500,2713000,12/12/2017
delta,n/a,burutu,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3850000,3465000,385000,3465000,02/03/2017
delta,n/a,warri south we,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,2413642.86,1718392.86,695250,1718392.86,26/06/2015
delta,n/a,warri south we,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1811142.86,1237642.86,573500,1237642.86,26/06/2015
delta,n/a,burutu,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,3321750,2466750,855000,2466750,13/12/2017
delta,n/a,warri south we,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,2744142.86,1880542.86,863600,1880542.86,26/06/2015
delta,n/a,warri south we,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,2833806.66,2341416.66,492390,2341416.66,13/12/2017
delta,n/a,warri south we,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,2743142.85,1880042.85,863100,1880042.85,26/06/2015
delta,n/a,warri south we,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2579702.85,1799702.85,780000,1799702.85,26/06/2015
delta,n/a,warri south we,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2586142.86,1806124.86,780000,1806142.86,26/06/2015
delta,n/a,warri south we,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,2833806.66,2341416.66,492390,2341416.66,13/12/2017
delta,n/a,warri south we,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,2833806.86,2341416.66,492390,2341702.86,13/12/2017
delta,n/a,ugheli south,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,4326300,2814750,1511550,2814750,08/07/2019
edo,n/a,n/a,etsako central,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,624000,417400,206000,417400,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,581400,373700,207700,373700,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,653400,419700,233700,419700,06/10/2015
delta,n/a,bomadi,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2350314.29,1570914.29,779400,1570914.29,29/06/2015
edo,n/a,n/a,etsako central,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,834000,509000,325000,509000,25/07/2017
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,834000,509000,325000,509000,25/07/2017
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,834000,509000,325000,509000,25/07/2017
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,rice processin,n/a,n/a,n/a,1108600,776020,332580,776020,06/10/2015
edo,n/a,n/a,etsako central,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1996000,1397200,598800,1397200,25/07/2017
edo,n/a,n/a,etsako central,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,624000,417400,206000,417400,06/10/2015
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1155270,808689,346581,808689,25/07/2017
edo,n/a,n/a,etsako central,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,farm road,n/a,1500000,1350000,150000,1350000,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,589400,369300,220100,369300,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,639400,402700,236700,402700,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,703400,434700,268700,434700,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,pepper tomato,n/a,n/a,n/a,n/a,n/a,n/a,n/a,870980,570006,300974,570006,06/10/2015
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,581400,373700,207700,373700,06/10/2015
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1348500,944650,403850,944650,09/04/2019
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,rice processin,n/a,n/a,n/a,1369500,958650,410850,958650,09/04/2019
edo,n/a,n/a,etsako central,n/a,crop productio,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1163500,757650,405850,742950,09/04/2019
edo,n/a,n/a,etsako central,n/a,processing,n/a,n/a,n/a,n/a,rice processin,n/a,n/a,n/a,1369500,958650,410850,958650,09/04/2019
delta,n/a,burutu,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2170500,1454800,715700,1454800,22/02/2016
delta,n/a,burutu,n/a,n/a,poultry,n/a,n/a,n/a,layers,n/a,n/a,n/a,n/a,4570000,3005400,1564600,3005400,12/09/2017
delta,n/a,burutu,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1807700,1337240,470460,1807700,13/11/2011
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/12/2016
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/12/2014
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/12/2014
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/12/2014
bayelsa,oredo,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014290,720003,294287,720003,16/12/2014
rivers,n/a,n/a,n/a,asari toru,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2216500,1705000,511500,1705000,13/08/2015
rivers,n/a,n/a,n/a,asari toru,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2216500,1705000,511500,1705000,13/08/2015
