group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
rivers,n/a,n/a,n/a,tai,"MAINTENANCE OF SIME-OGU, SIME COMMUNITY",TAI RIVERS SOUTH EAST SEN DISTRICT,completed,100%,UB. -SILVER PALM VENTURES,2.12E+07,1.20E+07,3.33E+07,3.33E+07,1570459695206.jpg,n/a,38,16,54,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,akuku toru,"MAINTENANCE OF GLADYS ROAD,BRIGG'S COMPOUND",RIVERS SOUTH WEST,completed,100%,BAITE AND HOOKE INVESTMENT LIMITED,2.95E+07,1.41E+07,4.36E+07,2.95E+07,1570453200558.jpg,1570453283650.jpg,36,15,51,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,ethiope east,n/a,n/a,INTERLOCKING,SCHOOL ROAD ABRAKA,completed,12 MONTH ACTIVITIES THAT INVOLVE ROAD CONSTRUCTION,OBAFUA NIGERIA LIMITED,1.59E+07,1.31E+07,2.90E+07,29025276,1570188029597.jpg,1570188206391.jpg,40,n/a,20,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF ESSUM STREET, RUMUOKORO",OBIO OKPOR,completed,"CLEARING, FILLING & COMPACTION OF SHARP RIVER SAND & CONCRETING 9.3KM ROAD",CASTLES & PATHS LTD,2.22E+07,1.42E+07,3.64E+07,3.64E+07,1570463389502.jpg,n/a,35,15,47,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,MAINTENANCE OF ANDONI STREET EAGLE ISLAND,PORT HARCOURT CITY,completed,"CLEARING, FILLING & COMPACTION OF SHARP RIVER SAND & CONCRETING",OBOEST GLOBAL SERVICES 20,2.01E+07,1.21E+07,3.22E+07,3.22E+07,1570456990713.jpg,n/a,38,16,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF CHIEF AMADI WOBO STREET, RUMUEME",OBIO AKPOR,completed,"CLEARING, FILLING & COMPACTION OF SHARP RIVER SAND & CONCRETING 9.3KM ROAD",BURNSVILLE INTEGRATED SERVICES LIMITED,2.29E+07,1.36E+07,3.64E+07,3.64E+07,1570458485494.jpg,n/a,46,20,57,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,"SWEEPING OF SURFACE TRAVELLED ROAD, DESILTING OF DRAINS, PATCHING OF POTHOLES,  REPAIRS OF COLLAPSED DRAINS, PAINTING OF KERBS ALONG MONU OLARUWAJU STREET, SIR ELUCHIE ROAD, ENYI NNEAMAKA AILI DRIVE AND NTA ROAD, ASABA",ASABA,completed,"SWEEPING, DESILTATION, PATCHING OF POTHOLES, REPAIR OF COLLAPSED KERBS AND PAINTING OF KERBS ",RONEC ENGINEERING NIGERIA LIMITED,2.10E+07,5280000,2.63E+07,2.63E+07,1570093120339.jpg,1570093196713.jpg,7,15,22,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,"SWEEPING OF SURFACE TRAVELLED ROAD, VEGETATION ON THE KERB MEDIAN AND ROAD CORRIDOR PAINTING OF KERBS, WATERING OF KERB MEDIAN VEGETATION ALONG OKPANAM ROAD, MARYAM BABANGIDA WAY AND CABINET OFFICE ROAD, ASABA",ASABA,completed,"SWEEPING, VEGETATION CONTROL, PAINTING OF KERBS  AND WATERING OF KERB MEDIAN VEGETATION ",ROW BARON ENT,1.03E+07,1.61E+07,26396425,2.64E+07,1570094678172.jpg,1570094703778.jpg,16,51,67,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,"SWEEPING OF SURFACE TRAVELLED ROAD, VEGETATION  CONTROL ON THE KERBS MEDIAN AND ROAD CORRIDOR, PAINTING OF KERBS, WATERING OF KERBED MEDIAN VEGETATION ALONG NNEBISI ROAD AND FEDERAL COLLEGE ROAD, ASABA",ASABA,completed,"SWEEPING, VEGETATION CONTROL ALONG KERBED MEDIAN, PAINTING OF KERBS AND WATERING OF KERB MEDIAN VEGETATION ",O AND M PATHFINDERS NIGERIA LIMITED ,1.82E+07,9840000,28021770,2.80E+07,1570104761238.jpg,1570104795532.jpg,13,28,41,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,"PATCHING OF POTHOLES, DESILTATION OF DRAINS, MAINTENANCE OF COLLAPSED DRAINS, SWEEPING OF SURFACE TRAVELLED ROAD ALONG IBUSA ROAD, UMUDIKE ROAD AND KINSLEY EMU STREET, ASABA",ASABA,completed,"PATCHING OF POTHOLES, DESILTATION OF DRAINS, MAINTENANCE OF COLLAPSED DRAINS AND SWEEPING ",BEE ASICO NIGERIA LIMITED ,2.03E+07,7200000,27493751,2.75E+07,1570105920077.jpg,1570105936645.jpg,10,20,30,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,"SWEEPING OF SURFACE TRAVELLED ROAD, DESILTATION OF DRAINS, REPAIR OF COLLAPSED DRAINS AND BROKEN DOWN KERBS AND PAINTING OF KERBS ALONG NNEBISI ROAD, BISHOP NWOSU STREET AND DENNIS OSADEBEY WAY",ASABA,completed,"SWEEPING, DESILTATION OF DRAINS, REPAIR OF COLLAPSED KERBS AND PAINTING OF KERBS ",JOSEMAC INTERGRATED CONCEPT LIMITED,1.82E+07,9840000,28021770,2.80E+07,1570111129573.jpg,1570111107304.jpg,13,28,41,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,SWEEPING OF SURFACE ROAD,INTERLOCKING OF AKWUZU STREET AND SWEEPING OF REFINERY ROAD TO FLY OVER,completed,12 MONTHS,ATTAH INT VENTURES,2.62E+07,2.52E+07,5.14E+07,3.03E+07,1570034770273.jpg,1570035040392.jpg,7,2,n/a,yes,yes,n/a,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 150Mx5M CONCRETE ROAD IN SAMPOU,SAMPOU,completed,COMPLETED,JODARY GLOBAL SERVICES,654313.51,8640000,9294313.51,6543913.51,1570541319770.jpg,1570541389687.jpg,25,10,0,no,yes,yes,n/a,100
rivers,n/a,n/a,n/a,akuku toru,"MAINTENANCE OF BESTMAN/NAVAL OUTPOST/HARBOR ROAD,ABONNEMA,AKUKU-TORU",RIVERS SOUTH WEST,completed,100%,AZEP INTEGRATED SERVICES,2.22E+07,9288000,3.15E+07,3.15E+07,1570454313996.jpg,1570454435923.jpg,30,13,43,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,degema,"MAINTENANCE OF OTIE IWURA ROAD FROM JUNCTION TO CULVERT, DEGEMA TOWN",RIVERS SOUTH  WEST,completed,95%,GENRE INTEGRATED RESOURCE'S,3.71E+07,2.13E+07,58373999,1.36E+07,1570538052546.jpg,1570538149385.jpg,32,28,0,yes,yes,AUTOMATIC,BENEFICIARY PAYMENT WILL END IN MARCH 2020,95
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,"MAINTENA RING ROAD ,WOJI","WOJI TOWN, OBIO AKPOR LGA",completed,210MX5M REINFORCED CONCRETE ROAD,FILLIRO INTEGRATED SERVICES LTD,2.31E+07,1.31E+07,36241113,3.62E+07,1570449461146.jpg,n/a,17,41,52,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,akuku toru,"MAINTEANACE OF KALA SUNDAY,PHASE 2 FROM CULVERT TO PLAY GROUND.",RIVERS SOUTH WEST,yet to commenc,n/a,ODAEMAC NIGERIA LTD,8195585.25,1.44E+07,2.26E+07,8195585,1570536236897.jpg,1570536358415.jpg,49,15,65,yes,yes,AUTOMATIC,YET TO COMMENCE,0
rivers,n/a,n/a,n/a,gokana,"MAINTENANCE OF YEGHE LINK ROAD, GOKANA LGA","GOKANA, RIVERS SOUTH EAST SEN DISTRICT",completed,100%,ACCESS CONTROL LIMITED,1.88E+07,1.08E+07,29642031,2.96E+07,1570534912617.jpg,1570534951657.jpg,35,15,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF MARKET ROAD TO NYSC GUEST HOUSE NONWA TAI,TAI RIVERS SOUTH EAST SEN DISTRICT,completed,100%,n/a,1.48E+07,1.08E+07,25555543,2.56E+07,1570452049162.jpg,1570452176926.jpg,35,15,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF KPITE-BOTEM ROAD TAI,TAI RIVERS SOUTH EAST SEN DISTRICT,completed,100%,NSIDOR EXPRESS NIGERIA LIMITED,1.66E+07,1.30E+07,29548652,2.95E+07,1570453606485.jpg,n/a,42,18,60,yes,yes,yes,n/a,100
delta,n/a,isoko north,n/a,n/a,CONSTRUCTION OF ROAD USING INTERLOCK,ODEGHOLOR ROAD OFF URUEDE ROAD OZORO,completed,"12 MONTHS ACTIVITIES THAT INVOLVES MOULDING AND LAYING OF TILES, DESILTATION OF DRAINS AND VEGETATION CONTROL",ATAH INTEGRATED,1.80E+07,1.65E+07,3.45E+07,3.45E+07,1570548964334.jpg,1570548987448.jpg,35,25,0,n/a,n/a,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,SWEEPING OF SURFACE TRAVELED ROAD AND VEGETATION CONTROL ALONG WARRI/SAPELE ROAD FROM ENERHEN JUCTION TO NPA,WARRI,completed,100,MICROPRO GLOBAL COMMUNICATION,5627757,1.86E+07,24269581,2.43E+07,1570111560827.jpg,1570111575599.jpg,21,54,75,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,LOT 7: 4200 OF ROAD SWEEPING/CLEANING ALONG AIRPORT ROAD FROM WATERBOARD JUNCTION TO ANGLE PARK WARR,WARRI,completed,100,COLLECTIVE APPROACH CONCEPT,5638792,8404790,14043582,2373314,1570107522057.jpg,1570107542463.jpg,9,26,35,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,gokana,MAINTENANCE OF BODO CITY GIRLS ROAD AND DRAINAGE ,GOKANA SOUTH EAST SEN DISTRICT ,on going,95%,TECHNIQUE ENGINEERING AND MANAGEMENT ,2.74E+07,1.20E+07,39481862,3.72E+07,1570622132655.jpg,1570622206762.jpg,34,20,54,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,gokana,MAINTENANCE OF APOSTOLIC CHURCH ROAD,"B-DERE, GOKANA SOUTH EAST SEN DISTRICT",completed,100%,CONSTRUE LIMITED,1.35E+07,1.02E+07,23693943,2.37E+07,1570619341335.jpg,1570619379585.jpg,33,14,47,yes,yes,yes,n/a,100
delta,n/a,isoko south,n/a,n/a,CONSTRUCTION OF DRAINS WITH CULVERT DESILTATION,ALONG OKPESIA STREET AND ODORO ROAD DRAIN OLEH,completed,12 MONTHS ACTIVITIES THAT INVOLVED DRAINS CONSTRUCTION WITH CULVERT AND DESILTATION,CHLEZ ENGINEER SERVICES LTD,1.80E+07,1.80E+07,3.60E+07,2.41E+07,1570546726541.jpg,1570546762213.jpg,50,15,0,n/a,n/a,n/a,n/a,100
delta,n/a,ethiope east,n/a,n/a,SPOT IMPROVEMENT AND INTERLOCKING,ALONG CAMPUS 4 ROAD ABRAKA AND ORHONO / EKU OFF WARRI ROAD EKU,completed,12 MONTH ACTIVITY THAT WILL INVOLVE SPOT IMPROVEMENT AND INTERLOCKING OF ROAD,MAKOFE COMPANY,2.54E+07,2.38E+07,4.92E+07,4.92E+07,1570181887462.jpg,1570189246541.jpg,71,34,0,n/a,n/a,n/a,n/a,100
delta,n/a,ukwuani,n/a,n/a,VEGETATION  CONTROL AND DESILTING OF ROAD,OBIARUKU,completed,100%,PRISCO ENGR SERVICE LTD,8630186.74,2.09E+07,2.95E+07,2.95E+09,1569337004438.jpg,1569337019579.jpg,37,43,80,yes,yes,yes,n/a,100
delta,n/a,ndokwa east,n/a,n/a,CONSTRUCTION OF EARTH DRAIN CONCRETE CULVERTS AND SAND FILLINNG,OSSISA,completed,12 MONTHS ACTIVITIES THAT INVOLVE SWEEPING IF SURFACE  TRAVELLED ROAD,PROSPECTIVE EMULTI LINK LTD,7.22E+07,2.56E+07,9.77E+07,4.66E+07,1570029277307.jpg,1570029294023.jpg,85,28,11,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,SWEEPING/CLEANING OF JAKPA ROAD FROM THE JUNCTION TO EKPAN,WARRI,completed,100%,BRYTEX PRECIOUS,1.04E+07,1.08E+07,2.12E+07,2.12E+07,1570106589356.jpg,1570106619676.jpg,4,41,0,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,DRAINAGE CONSTRUCTION AND DESILATION,"ALONG IZUKA OKOLO ANDJESUS SAVES ROAD, ASABA",completed,100%,KIPS ENGINEERING LIMITED,1.77E+07,19250,1.77E+07,1.93E+07,1569062852096.jpg,1569062564732.jpg,14,56,0,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,SWEEPING/CLEANING ALONG AIRPORT ROAD FROM ANGLE PARK TO OGUNU BRIDGE AND ANGLE PARK TO OKERE MARKET ROUNDABOUT,WARRI,completed,100%,AU PATHFINDERS,1.04E+07,1.05E+07,20954438,2.10E+07,1570107956452.jpg,1570107983948.jpg,7,37,0,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,SPOT IMPROVEMENT AND SWEEPING OF TRAVELLED SURFACE ROAD,WARRI,completed,12 MONTHS ACTIVITIES,KIPS ENGINEERING LIMITED,2.11E+07,1.70E+07,38091221,3.81E+07,1570111021930.jpg,1570111046125.jpg,21,39,0,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,CONSTRUCTION OF1800M OF CONCRETE DRAINS ALONG OLOMO ROAD,WARRI,completed,12 MONTHS ACTIVITY,JAY BENRO LIMITED,2.30E+07,5536925,28581452,2.86E+07,1570108186808.jpg,1570108212234.jpg,25,44,69,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,DRAIN DE-SILTATION AND CLEANING/SWEEPING OF TRAVELLED SURFACE OF ROAD,WARRI,completed,12 MONTHS ACTIVITIES,RICHLION COMPANY LIMITED,4752287.46,3603073,8355360.46,8355361.46,1570124305339.jpg,1570124315292.jpg,28,17,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,gokana,MAINTENANCE OF BARAKO ROAD ,"BARAKO, GOKANA SOUTH EAST SEN DISTRICT ",completed,100%,PEEZGO NIGERIA LIMITED ,2.40E+07,1.57E+07,39680397,3.97E+07,1570617897076.jpg,1570617988364.jpg,36,16,52,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,gokana,"MAINTENANCE OF SCHOOL ROAD, K-DERE","GOKANA, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,M.E DARIENZ CONSTRUCTION LIMITED,2.39E+07,1.58E+07,3.97E+07,3.97E+07,1570618749972.jpg,1570618848058.jpg,36,16,52,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,gokana,"MAINTENANCE OF SCHOOL ROAD, K-DERE","GOKANA, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,M.E DARIENZ CONSTRUCTION LIMITED,2.39E+07,1.58E+07,3.97E+07,3.97E+07,1570618749972.jpg,1570618848058.jpg,36,16,52,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,MAINTENANCE OF MBGEDE AGGAH ROAD EGBEMA  ONELGA,RIVERS SOUTH WEST,completed,n/a,OFISSA INTERNATIONAL LIMITED,2.06E+07,1.51E+07,3.57E+07,3.57E+07,1570618130206.jpg,1570618266708.jpg,47,20,67,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,"MINI BRIDGE AT NYEAWELI NSIRIM NEW LAYT, TOMBIA EXT.",OBIO AKPOR,completed,RE-ENFORCED CONCRETE WORK,DAVO & DEBI ENTERPRISE,2.35E+07,1.28E+07,36325025,3.63E+07,1570467457378.jpg,n/a,40,17,57,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,SWEEPING OF SURFACE TRAVELLED ROAD AND VEGETATION CONTROL ALONG WARRI/SAPELE ROAD FROM ENERHEN JUNCTION TO NPA,WARRI,completed,100%,MICROPROGLOBAL COMMUNICATION,5627757,1.86E+07,24269581,2.43E+07,1570123247465.jpg,1570123280898.jpg,18,52,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,gokana,"MAINTENANCE OF BODO-BABARI ROAD, BODO CITY","GOKANA, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,KLTD NIGERIA LIMITED,2.58E+07,1.58E+07,4.16E+07,4.16E+07,1570621341788.jpg,1570621486388.jpg,36,16,52,yes,yes,yes,n/a,100
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE OF ALEJOR-NOTORE ROAD, ELEME","ELEME, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,GREENSTONE ENGINEERING ENTERPRISES,2.25E+07,1.50E+07,3.75E+07,3.68E+07,1570624502017.jpg,1570624580782.jpg,47,20,67,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,ndokwa east,n/a,n/a,ROAD CONSTRUCTION OF CONCRETE PAVEMENT AND VEGETATION CONTROL,OSSISSA ,completed,100,INTEGRATED ADVANCED QUEST LTD,3.28E+07,2.14E+07,5.42E+07,5.42E+07,1570029925895.jpg,1570030030253.jpg,37,40,0,yes,n/a,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE OF AGBATA NEW ROAD, EBUBU","EBUBU, ELEME SOUTH EAST SEN DISTRICT ",completed,100%,OBENS INTEGRATED SERVICES LIMITED ,2.42E+07,1.50E+07,39262609,3.84E+07,1570626669595.jpg,n/a,47,20,67,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,MAINTENANCE OF OGALI-ALODE ROAD ,ELEME RIVERS SOUTH EAST SEN DISTRICT ,completed,100%,OBAJI INTEGRATED SERVICE NIGERIA LIMITED ,1.66E+07,8856000,25489580,2.55E+07,1570627540560.jpg,n/a,29,12,41,yes,yes,yes,n/a,100
delta,n/a,sapele,n/a,n/a,"(5.0  KILOMETERS) PATCHING OF POTHOLES, DRAINS DESILTATION AND CLEANING/SWEEPING OF TRAVELLED SURFACE ROAD","AKINTOLA ROAD AND OKPE ROAD, SAPELE",completed,DRAINS DESILTATED AND SURFACE TRAVELLED ROADS CLEANED,TEJOGREG VENTURES,6156263.5,1.00E+07,1.62E+07,1.62E+07,1570288162747.jpg,1570288212350.jpg,15,45,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
